Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Violation Description
5092708219,F47DZF,NJ,PAS,7/24/2016,7,4 DR,JEEP,FAILURE TO STOP AT RED LIGHT
5094759954,GLB8157,NY,PAS,12/19/2016,7,SUBN,JEEP,FAILURE TO STOP AT RED LIGHT
5093891046,FJS4033,NY,PAS,10/14/2016,7,4DSD,LEXUS,FAILURE TO STOP AT RED LIGHT
5093527853,GYM9809,NY,PAS,9/21/2016,7,4DSD,LEXUS,FAILURE TO STOP AT RED LIGHT
5096683886,HCS4873,NY,PAS,5/18/2017,7,4DSD,LEXUS,FAILURE TO STOP AT RED LIGHT
5096917368,FZD8593,NY,PAS,6/13/2017,7,SUBN,ME/BE,FAILURE TO STOP AT RED LIGHT
5094893737,GER1584,NY,PAS,12/31/2016,7,4DSD,ME/BE,FAILURE TO STOP AT RED LIGHT
5096249300,HEM8411,NY,PAS,5/1/2017,7,4DSD,ME/BE,FAILURE TO STOP AT RED LIGHT
5096958772,165TRX,CT,PAS,6/16/2017,7,4W,MERCU,FAILURE TO STOP AT RED LIGHT
5093703217,HFG4313,NY,PAS,9/30/2016,7,4DSD,MITSU,FAILURE TO STOP AT RED LIGHT
5094670736,AXU4790,NY,PAS,12/11/2016,7,4DSD,NISSA,FAILURE TO STOP AT RED LIGHT
5094094166,CZM4111,NY,PAS,10/28/2016,7,4DSD,TOYOT,FAILURE TO STOP AT RED LIGHT
5096723768,EDN2797,NY,PAS,6/2/2017,7,4DSD,TOYOT,FAILURE TO STOP AT RED LIGHT
5093209120,FZT5005,NY,PAS,8/28/2016,7,4DSD,TOYOT,FAILURE TO STOP AT RED LIGHT
5092469481,GZH7067,NY,PAS,7/10/2016,7,SUBN,TOYOT,FAILURE TO STOP AT RED LIGHT
5092451658,GZH7067,NY,PAS,7/8/2016,7,SUBN,TOYOT,FAILURE TO STOP AT RED LIGHT
5095356545,GZM8254,NY,OMS,2/18/2017,7,SUBN,TOYOT,FAILURE TO STOP AT RED LIGHT
8410006650,D53AUUN,NJ,PAS,10/21/2016,9,4DSD,LEXUS,09-Blocking the Box
8534116519,CES6482,NY,PAS,6/12/2017,9,SUBN,TOYOT,09-Blocking the Box
8485674984,T713160C,NY,OMT,6/13/2017,9,SUBN,TOYOT,09-Blocking the Box
8556557405,59622JW,NY,COM,6/9/2017,10,VAN,FORD,10-No Stopping
8071038416,AM479F,NJ,PAS,7/7/2016,10,DELV,FRUEH,10-No Stopping
8483087236,76822MH,NY,COM,5/19/2017,10,DELV,HIN,10-No Stopping
8481125088,55179ME,NY,COM,4/10/2017,10,DELV,NS/OT,10-No Stopping
8506822300,55106MB,NY,COM,5/31/2017,10,VAN,WORKH,10-No Stopping
8482331425,86609MB,NY,COM,6/18/2017,13,VAN,CHEVR,13-No Stand (taxi stand)
8028246722,T703619C,NY,OMT,9/15/2016,13,SUBN,CHEVR,13-No Stand (taxi stand)
8378547530,FWZ8815,NY,PAS,1/11/2017,14,2DSD,ACURA,14-No Standing
8489750210,6DQT356,CA,PAS,11/28/2016,14,4DSD,AUDI,14-No Standing
1410726095,DEP4792,NC,PAS,7/15/2016,14,,BMW,
8421031235,GGA4266,NY,PAS,10/18/2016,14,4DSD,BMW,14-No Standing
7730553259,DLZ8901,NY,PAS,9/26/2016,14,SUBN,CHEVR,14-No Standing
8498520046,HKF6916,NY,PAS,4/27/2017,14,SUBN,CHEVR,14-No Standing
8537807813,HNF6718,NY,PAS,4/21/2017,14,SUBN,CHEVR,14-No Standing
8083571465,KCG9559,PA,PAS,12/22/2016,14,SUBN,CHEVR,14-No Standing
7536689184,ZCL5723,PA,PAS,1/26/2017,14,VAN,CHEVR,14-No Standing
8480505680,HCT2134,NY,PAS,1/18/2017,14,SUBN,CHRYS,14-No Standing
8481973580,28693MH,NY,COM,6/13/2017,14,VAN,DODGE,14-No Standing
8460500214,30408MC,NY,COM,8/4/2016,14,PICK,DODGE,14-No Standing
8482817036,50501JT,NY,COM,4/11/2017,14,VAN,DODGE,14-No Standing
8117027999,83317ME,NY,COM,9/27/2016,14,VAN,DODGE,14-No Standing
8488121532,FLX2674,NY,PAS,4/5/2017,14,2DSD,DODGE,14-No Standing
8543952980,FSZ8671,NY,PAS,4/21/2017,14,SUBN,DODGE,14-No Standing
8501806912,KGP1166,PA,PAS,6/4/2017,14,VAN,DODGE,14-No Standing
8107542976,11AH74,MA,PAS,1/29/2017,14,4DSD,FORD,14-No Standing
8564650320,29222MK,NY,COM,5/5/2017,14,VAN,FORD,14-No Standing
8010367576,30661MA,NY,COM,12/22/2016,14,VAN,FORD,14-No Standing
8505159536,41795JX,NY,COM,3/9/2017,14,VAN,FORD,14-No Standing
7813887440,44267JZ,NY,COM,8/12/2016,14,VAN,FORD,14-No Standing
8440509546,49317JX,NY,COM,10/29/2016,14,VAN,FORD,14-No Standing
1408575656,6XWZ969,CA,PAS,7/6/2016,14,SDN,FORD,
8516853275,72100MH,NY,COM,4/12/2017,14,VAN,FORD,14-No Standing
7059924103,91878MB,NY,COM,10/12/2016,14,VAN,FORD,14-No Standing
8170085561,ENM3708,NY,PAS,2/10/2017,14,SUBN,FORD,14-No Standing
8527511113,F70GEP,NJ,PAS,5/1/2017,14,SUBN,FORD,14-No Standing
8511453696,FSY6987,NY,PAS,3/13/2017,14,SUBN,FORD,14-No Standing
1413745933,HCC2829,NY,PAS,8/22/2016,14,VAN,FORD,
8484882226,S25DSK,NJ,PAS,6/8/2017,14,PICK,FORD,14-No Standing
8524054499,ZRK24R,NJ,PAS,3/18/2017,14,SUBN,FORD,14-No Standing
1423945281,2240653,IN,PAS,5/13/2017,14,,FRUEH,
8577650820,10632JU,NY,COM,6/20/2017,14,UTIL,FRUEH,14-No Standing
7056662882,83038ME,NY,COM,9/21/2016,14,VAN,FRUEH,14-No Standing
8324025510,83146ME,NY,COM,10/27/2016,14,VAN,FRUEH,14-No Standing
8286541110,85846MD,NY,COM,10/25/2016,14,VAN,FRUEH,14-No Standing
8270548250,91028MJ,NY,COM,12/13/2016,14,DELV,FRUEH,14-No Standing
8480520395,99886MC,NY,COM,6/19/2017,14,VAN,FRUEH,14-No Standing
8496410791,AP338E,NJ,PAS,5/17/2017,14,TRAC,FRUEH,14-No Standing
8530950458,HAY5880,NY,PAS,4/8/2017,14,SUBN,GMC,14-No Standing
8552003569,XJ275S,NJ,PAS,4/25/2017,14,PICK,GMC,14-No Standing
8536010903,25472MG,NY,COM,6/16/2017,14,REFG,HIN,14-No Standing
8508953549,XDLS80,NJ,PAS,2/1/2017,14,DELV,HIN,14-No Standing
7191990831,AA00234,CT,PAS,7/2/2016,14,SUBN,HONDA,14-No Standing
8519503676,FCX7311,NY,PAS,3/20/2017,14,SUBN,HONDA,14-No Standing
1418739704,GJK5307,NY,PAS,4/9/2017,14,SDN,HONDA,
7994359840,GNG1097,TX,PAS,7/15/2016,14,SUBN,HONDA,14-No Standing
1414856374,HLE9929,NY,PAS,4/13/2017,14,SUBN,HONDA,
8474909971,S938464,IA,PAS,1/9/2017,14,SUBN,HONDA,14-No Standing
1416903379,CRM6911,NY,PAS,12/16/2016,14,SDN,HYUND,
8340512559,CZB9676,NY,PAS,8/23/2016,14,2DSD,HYUND,14-No Standing
8497566683,17596JE,NY,COM,6/16/2017,14,DELV,INTER,14-No Standing
8517821075,32295MA,NY,COM,6/27/2017,14,DELV,INTER,14-No Standing
1418035762,62935JM,NY,COM,1/24/2017,14,DELV,INTER,
8482055392,92638JU,NY,COM,1/25/2017,14,VAN,INTER,14-No Standing
8506706490,AP166T,NJ,PAS,2/20/2017,14,DELV,INTER,14-No Standing
8473761297,33049MJ,NY,COM,2/1/2017,14,DELV,ISUZU,14-No Standing
8484877693,XBYG52,NJ,PAS,5/12/2017,14,VAN,ISUZU,14-No Standing
8152046917,VFW9441,VA,PAS,8/14/2016,14,SUBN,JEEP,14-No Standing
8503265503,23800TC,NY,TRC,3/28/2017,14,TRAC,KENWO,14-No Standing
8489721312,49734MA,NY,COM,4/4/2017,14,DELV,KENWO,14-No Standing
8464532088,HJR5750,NY,PAS,2/3/2017,14,SUBN,KIA,14-No Standing
8488825948,HAU1278,NY,PAS,3/31/2017,14,SUBN,LEXUS,14-No Standing
8559362496,HLW7798,NY,PAS,6/13/2017,14,4DSD,LEXUS,14-No Standing
8478353860,VUE95C,NJ,PAS,12/6/2016,14,4DSD,LEXUS,14-No Standing
8518911631,ZD53LE,NJ,PAS,5/17/2017,14,SUBN,LEXUS,14-No Standing
1416091415,75213MH,NY,COM,11/28/2016,14,VAN,ME/BE,
8482374059,F96FBF,NJ,PAS,4/23/2017,14,4DSD,ME/BE,14-No Standing
8544960947,HMX8950,NY,PAS,5/27/2017,14,4DSD,ME/BE,14-No Standing
1418609274,8P82H,NY,OMT,12/21/2016,14,TAXI,NISSA,
1417565895,HEB8184,NY,PAS,2/11/2017,14,SDN,NISSA,
8155550278,W56GSE,NJ,PAS,10/22/2016,14,4DSD,NISSA,14-No Standing
7433187960,2330830,ME,PAS,3/6/2017,14,TRLR,NS/OT,14-No Standing
7645052715,FRZ3573,NY,PAS,1/7/2017,14,SUBN,NS/OT,14-No Standing
7922559173,XCYU94,NJ,PAS,10/24/2016,14,VAN,NS/OT,14-No Standing
7767415582,XW915N,NJ,PAS,3/29/2017,14,DELV,NS/OT,14-No Standing
8524350581,HGR5953,NY,PAS,2/27/2017,14,4DSD,OLDSM,14-No Standing
7499844705,GGT7948,NY,PAS,8/22/2016,14,SUBN,SUBAR,14-No Standing
7150327266,HWE6388,PA,PAS,8/5/2016,14,SUBN,SUBAR,14-No Standing
8537603818,ASG8770,NY,PAS,3/26/2017,14,4DSD,TOYOT,14-No Standing
8210533952,GST8679,NY,PAS,11/21/2016,14,2DSD,TOYOT,14-No Standing
8555462198,HKT4222,NY,PAS,6/12/2017,14,SUBN,TOYOT,14-No Standing
1404838156,R57AAE,NJ,PAS,4/29/2017,14,SUBN,TOYOT,
8527806162,T659832C,NY,OMT,6/4/2017,14,4DSD,TOYOT,14-No Standing
8513520615,77026MG,NY,COM,5/31/2017,14,TRAC,VOLVO,14-No Standing
8251031485,HJP5565,NY,PAS,10/4/2016,16,4DSD,CHEVR,16A-No Std (Com Veh) Non-COM
7813745231,GEL1890,NY,PAS,9/19/2016,16,SUBN,CHRYS,16A-No Std (Com Veh) Non-COM
8444534183,36598MH,NY,COM,11/23/2016,16,VAN,DODGE,16-No Std (Com Veh) Com Plate
8061037749,HFG7121,NY,PAS,8/22/2016,16,SUBN,DODGE,16A-No Std (Com Veh) Non-COM
8250539527,24745ME,NY,COM,11/9/2016,16,VAN,FORD,16-No Std (Com Veh) Com Plate
8308520170,49033ME,NY,COM,7/14/2016,16,VAN,FORD,16-No Std (Com Veh) Com Plate
8504915323,57011ME,NY,COM,4/6/2017,16,SUBN,FORD,16-No Std (Com Veh) Com Plate
8339536023,XCEG93,NJ,PAS,9/15/2016,16,VAN,FORD,16-No Std (Com Veh) Com Plate
8566405183,GJD5585,NY,PAS,6/1/2017,16,4DSD,ME/BE,16A-No Std (Com Veh) Non-COM
7051225662,N61GZN,NJ,PAS,11/25/2016,16,SUBN,SATUR,16A-No Std (Com Veh) Non-COM
8149510126,GTP8988,NY,PAS,8/10/2016,16,2DSD,SMART,16A-No Std (Com Veh) Non-COM
7052028463,HGM9782,NY,PAS,1/30/2017,16,SUBN,TOYOT,16A-No Std (Com Veh) Non-COM
8474913706,T674455C,NY,OMT,2/8/2017,16,4DSD,TOYOT,16A-No Std (Com Veh) Non-COM
8506607206,18752MH,NY,COM,3/16/2017,17,VAN,CHEVR,17-No Stand (exc auth veh)
8438519763,89882JV,NY,COM,10/13/2016,17,VAN,GMC,17-No Stand (exc auth veh)
8551111954,GCE9214,NY,PAS,6/25/2017,17,4DSD,HONDA,17-No Stand (exc auth veh)
8516654059,AP169V,NJ,PAS,2/22/2017,18,DELV,INTER,18-No Stand (bus lane)
1368119141,BMLV150,ON,PAS,7/16/2016,19,SUBN,CHEVR,
8528274184,EKF9820,NY,PAS,5/1/2017,19,SUBN,CHEVR,19-No Stand (bus stop)
8522350073,83290MD,NY,COM,2/24/2017,19,SUBN,DODGE,19-No Stand (bus stop)
8070097437,T62GJP,NJ,PAS,9/18/2016,19,PICK,DODGE,19-No Stand (bus stop)
8509409523,35050JU,NY,COM,2/24/2017,19,PICK,FORD,19-No Stand (bus stop)
1413553552,41126BB,NY,OMT,7/28/2016,19,VAN,FORD,
8514220482,2588073,IN,PAS,5/29/2017,19,DELV,FRUEH,19-No Stand (bus stop)
8485652319,0480PRA,MN,PAS,1/26/2017,19,DELV,FRUEH,19-No Stand (bus stop)
7014671406,B0951V,FL,PAS,9/7/2016,19,DELV,FRUEH,19-No Stand (bus stop)
1422732710,GMK4592,NY,PAS,6/19/2017,19,SDN,HONDA,
7249114220,GPP7413,NY,PAS,10/8/2016,19,SUBN,HONDA,19-No Stand (bus stop)
7499990163,HKT3209,NY,PAS,12/13/2016,19,SUBN,HONDA,19-No Stand (bus stop)
8491667738,JPC4516,PA,PAS,3/1/2017,19,4DSD,INFIN,19-No Stand (bus stop)
8302046280,63444JM,NY,COM,1/26/2017,19,VAN,INTER,19-No Stand (bus stop)
8009901763,13657MD,NY,COM,9/27/2016,19,DELV,KENWO,19-No Stand (bus stop)
1424024420,HPD1970,NY,PAS,6/10/2017,19,SDN,KIA,
8511718990,50104MH,NY,COM,6/9/2017,19,VAN,ME/BE,19-No Stand (bus stop)
1415429522,17236MH,NY,COM,3/3/2017,19,SUBN,MITSU,
8476355312,47829MD,NY,COM,2/14/2017,19,DELV,PETER,19-No Stand (bus stop)
1406918726,5M39B,NY,OMT,7/13/2016,19,TAXI,TOYOT,
7241990262,DVA1919,NY,PAS,11/16/2016,19,SUBN,TOYOT,19-No Stand (bus stop)
8330511935,HBY7509,NY,PAS,7/30/2016,19,4DSD,TOYOT,19-No Stand (bus stop)
1423536058,HCS2336,NY,PAS,1/27/2017,19,SUBN,TOYOT,
8519016595,QU655,RI,PAS,6/12/2017,19,4DSD,TOYOT,19-No Stand (bus stop)
8530522310,T640396C,NY,OMT,5/27/2017,19,4DSD,TOYOT,19-No Stand (bus stop)
1413358512,54295PC,NY,APP,8/9/2016,19,BUS,,
8269048434,CDPE57,FL,PAS,8/21/2016,20,4DSD,ACURA,20A-No Parking (Non-COM)
7036998684,VML8110,VA,PAS,2/21/2017,20,4DSD,BMW,20A-No Parking (Non-COM)
8515215408,HFB1731,NY,PAS,4/14/2017,20,SUBN,CADIL,20A-No Parking (Non-COM)
8470607042,MYSUMMER,NY,OMT,7/27/2016,20,SUBN,CADIL,20A-No Parking (Non-COM)
1371960501,FEP2455,NY,PAS,7/18/2016,20,SUBN,CHEVR,
8550963045,GSU8031,NY,PAS,6/20/2017,20,4DSD,CHEVR,20A-No Parking (Non-COM)
8358531096,FGN4109,NY,PAS,11/14/2016,20,SUBN,CHRYS,20A-No Parking (Non-COM)
7623299300,530LAW,FL,PAS,7/23/2016,20,SUBN,CITRO,20A-No Parking (Non-COM)
1416638830,GLP367,NY,PAS,4/30/2017,20,SUBN,DODGE,
7441946736,GMT8049,NY,PAS,2/27/2017,20,4DSD,DODGE,20A-No Parking (Non-COM)
8522913341,KHB4412,PA,PAS,4/17/2017,20,4DSD,DODGE,20A-No Parking (Non-COM)
8421057479,64921JT,NY,COM,1/27/2017,20,VAN,FORD,20-No Parking (Com Plate)
8533873610,HBZ9785,NY,PAS,5/16/2017,20,2DSD,FORD,20A-No Parking (Non-COM)
8388024498,HGF2284,NY,PAS,11/14/2016,20,SUBN,FORD,20A-No Parking (Non-COM)
8086541423,K78FFL,NJ,PAS,9/7/2016,20,SUBN,FORD,20A-No Parking (Non-COM)
8521664060,XW347T,NJ,PAS,6/9/2017,20,VAN,FORD,20-No Parking (Com Plate)
7541979089,GPW5892,NY,PAS,1/16/2017,20,SUBN,GMC,20A-No Parking (Non-COM)
7487986524,AVS4503,NY,PAS,9/16/2016,20,PICK,HONDA,20A-No Parking (Non-COM)
8141015345,FRJ7858,NY,PAS,7/22/2016,20,SUBN,HONDA,20A-No Parking (Non-COM)
8543009080,GJA1784,NY,PAS,6/2/2017,20,SUBN,HONDA,20A-No Parking (Non-COM)
8275023932,GRR5700,NY,PAS,9/16/2016,20,2DSD,HONDA,20A-No Parking (Non-COM)
8193526089,GTE5903,NY,PAS,8/8/2016,20,4DSD,HONDA,20A-No Parking (Non-COM)
7809488399,HBE5264,NY,PAS,10/3/2016,20,4DSD,HONDA,20A-No Parking (Non-COM)
8241524547,T715157C,NY,OMT,1/19/2017,20,SUBN,HONDA,20A-No Parking (Non-COM)
7578395609,W81CNF,NJ,PAS,10/24/2016,20,SUBN,HONDA,20A-No Parking (Non-COM)
8018756946,7HG44,AL,PAS,8/29/2016,20,4DSD,HYUND,20A-No Parking (Non-COM)
7043255211,HJC9828,NY,PAS,3/10/2017,20,4DSD,HYUND,20A-No Parking (Non-COM)
8034434620,GYH6407,NY,PAS,8/19/2016,20,4DSD,INFIN,20A-No Parking (Non-COM)
7587314647,100VM,NY,SRF,12/7/2016,20,SUBN,JEEP,20A-No Parking (Non-COM)
8536008374,FAD5808,NY,PAS,5/17/2017,20,SUBN,JEEP,20A-No Parking (Non-COM)
8516810744,97304JB,NY,COM,5/11/2017,20,SUBN,KIA,20-No Parking (Com Plate)
8074505194,GFL3297,NY,PAS,10/21/2016,20,SUBN,ME/BE,20A-No Parking (Non-COM)
8300067954,HBX2351,NY,PAS,12/7/2016,20,SUBN,ME/BE,20A-No Parking (Non-COM)
8508050940,HJP4843,NY,PAS,1/17/2017,20,SUBN,ME/BE,20A-No Parking (Non-COM)
8023492410,DYB1485,NY,PAS,10/4/2016,20,4DSD,NISSA,20A-No Parking (Non-COM)
7411972721,EWL8888,NY,PAS,12/1/2016,20,SUBN,NISSA,20A-No Parking (Non-COM)
7495741065,HFD1339,NY,PAS,7/22/2016,20,SUBN,NISSA,20A-No Parking (Non-COM)
8536155176,HNU1266,NY,PAS,3/24/2017,20,4DSD,NISSA,20A-No Parking (Non-COM)
8561455706,JEHIEL,NY,SRF,5/31/2017,20,2DSD,NISSA,20A-No Parking (Non-COM)
8546500216,DWKN70,FL,PAS,4/7/2017,20,SUBN,ROVER,20A-No Parking (Non-COM)
8465012489,HFK6846,NY,PAS,11/25/2016,20,4DSD,SUBAR,20A-No Parking (Non-COM)
7768685120,FJA9910,NY,PAS,10/17/2016,20,SUBN,TOYOT,20A-No Parking (Non-COM)
8558202229,FRY1035,NY,PAS,4/29/2017,20,4DSD,TOYOT,20A-No Parking (Non-COM)
8564165960,FXK5768,NY,PAS,6/24/2017,20,4DSD,TOYOT,20A-No Parking (Non-COM)
8147540644,GXB8128,NY,PAS,9/1/2016,20,4DSD,TOYOT,20A-No Parking (Non-COM)
7606849481,T638216C,NY,OMT,5/8/2017,20,4DSD,TOYOT,20A-No Parking (Non-COM)
8293037179,GJU4869,NY,PAS,8/26/2016,21,4DSD,ACURA,21-No Parking (street clean)
8009559234,HBU6907,NY,PAS,8/10/2016,21,4DSD,ACURA,21-No Parking (street clean)
8545156546,EVM6598,NY,PAS,5/3/2017,21,4DSD,AUDI,21-No Parking (street clean)
8516050920,GXY1094,NY,PAS,3/3/2017,21,SUBN,AUDI,21-No Parking (street clean)
8544889610,VVP9002,VA,PAS,6/14/2017,21,4DSD,AUDI,21-No Parking (street clean)
8318510150,99H1010,TN,PAS,8/2/2016,21,2DSD,BMW,21-No Parking (street clean)
8491819083,FHY6755,NY,PAS,3/3/2017,21,4DSD,BMW,21-No Parking (street clean)
7725863710,GNF2877,NY,PAS,9/26/2016,21,4DSD,BMW,21-No Parking (street clean)
1412956201,GNR5598,NY,PAS,7/20/2016,21,SDN,BMW,
7919376452,HAS5112,NY,PAS,1/27/2017,21,SUBN,BMW,21-No Parking (street clean)
7970393330,HAT6686,NY,PAS,8/17/2016,21,4DSD,BMW,21-No Parking (street clean)
8537965042,HFP5029,NY,PAS,5/16/2017,21,4DSD,BMW,21-No Parking (street clean)
8581153938,X89HVW,NJ,PAS,6/14/2017,21,4DSD,BMW,21-No Parking (street clean)
8236569895,EPY9505,NY,PAS,3/22/2017,21,4DSD,BUICK,21-No Parking (street clean)
8502707383,JGL6885,PA,PAS,1/24/2017,21,SUBN,BUICK,21-No Parking (street clean)
8511711946,42283JZ,NY,COM,4/27/2017,21,VAN,CHEVR,21-No Parking (street clean)
1418142980,483TFM,TN,PAS,12/19/2016,21,VAN,CHEVR,
1420029915,53468JZ,99,COM,4/27/2017,21,VAN,CHEVR,
8539666996,85121ME,NY,COM,5/22/2017,21,VAN,CHEVR,21-No Parking (street clean)
1413709760,DGN6881,NY,PAS,9/2/2016,21,SDN,CHEVR,
8473311693,DTG6286,NY,PAS,11/23/2016,21,SUBN,CHEVR,21-No Parking (street clean)
7658191050,GEL4496,NY,PAS,7/22/2016,21,SUBN,CHEVR,21-No Parking (street clean)
8478626049,GRU5176,NY,PAS,5/15/2017,21,4DSD,CHEVR,21-No Parking (street clean)
7369979570,GTC5499,NY,PAS,7/20/2016,21,4DSD,CHEVR,21-No Parking (street clean)
1400876217,GVB9839,NY,PAS,9/19/2016,21,P-U,CHEVR,
1422284335,HHJ5747,NY,PAS,6/3/2017,21,SUBN,CHEVR,
8556051480,M322307,NJ,PAS,4/26/2017,21,PICK,CHEVR,21-No Parking (street clean)
8514570973,T738567C,NY,OMT,6/21/2017,21,SUBN,CHEVR,21-No Parking (street clean)
8357020770,Y56DLT,NJ,PAS,1/20/2017,21,4DSD,CHEVR,21-No Parking (street clean)
8523602306,GUG9349,NY,PAS,3/25/2017,21,4DSD,CHRYS,21-No Parking (street clean)
1410697290,HZ214,RI,PAS,7/15/2016,21,SUBN,CHRYS,
8485267631,80381MD,NY,COM,3/2/2017,21,VAN,DODGE,21-No Parking (street clean)
7808365737,ETN7313,NY,PAS,3/22/2017,21,4DSD,DODGE,21-No Parking (street clean)
8236558708,FLC9623,NY,PAS,1/23/2017,21,SUBN,DODGE,21-No Parking (street clean)
8567100082,FTY1182,NY,PAS,5/3/2017,21,4DSD,DODGE,21-No Parking (street clean)
8516402034,88040MH,NY,COM,5/26/2017,21,DELV,FORD,21-No Parking (street clean)
8237524573,CMD1897,NY,PAS,10/19/2016,21,4DSD,FORD,21-No Parking (street clean)
8490203982,DBZ7195,NY,PAS,12/13/2016,21,4DSD,FORD,21-No Parking (street clean)
8140540663,EHA1740,NY,PAS,10/27/2016,21,SUBN,FORD,21-No Parking (street clean)
8539702370,FYW7060,NY,PAS,3/23/2017,21,SUBN,FORD,21-No Parking (street clean)
8151587635,GFC5314,NY,PAS,11/22/2016,21,SUBN,FORD,21-No Parking (street clean)
8536979239,GKP5732,NY,PAS,4/28/2017,21,SUBN,FORD,21-No Parking (street clean)
8277588720,GYT3978,NY,PAS,11/10/2016,21,2DSD,FORD,21-No Parking (street clean)
8330514596,HDK4072,NY,PAS,8/23/2016,21,SUBN,FORD,21-No Parking (street clean)
8043823078,HHF5026,NY,PAS,9/6/2016,21,SUBN,FORD,21-No Parking (street clean)
8173039823,JLN1340,PA,PAS,11/16/2016,21,SUBN,FORD,21-No Parking (street clean)
8521903650,XAGW46,NJ,PAS,3/27/2017,21,VAN,FORD,21-No Parking (street clean)
1420031892,43601MG,NY,COM,5/1/2017,21,VAN,FRUEH,
8431017041,76130JH,NY,COM,9/16/2016,21,DELV,FRUEH,21-No Parking (street clean)
8104561698,GAV2010,NY,PAS,3/7/2017,21,4DSD,GEO,21-No Parking (street clean)
1421330088,12040MJ,NY,COM,6/20/2017,21,SUBN,GMC,
8463512264,20410AD,NY,COM,10/28/2016,21,VAN,GMC,21-No Parking (street clean)
8059052214,36733JX,NY,COM,11/14/2016,21,VAN,GMC,21-No Parking (street clean)
1417865507,77993JV,NY,COM,2/6/2017,21,VAN,GMC,
7005104110,GYG7508,NY,PAS,9/1/2016,21,SUBN,GMC,21-No Parking (street clean)
8077581614,XAYF77,NJ,PAS,2/27/2017,21,DELV,GMC,21-No Parking (street clean)
