WORD,ROOT
وترصعه,رصع
وأغطرس,غطرس
وسيطيعونهن,طوع
عدموهما,عدم
فليوصدنا,وصد
يافعتيهم,يفع
ولأزمتيهما,ازم
فبوقائعك,وقع
وامسكاهما,مسك
فبعيرا,
وبنمطيه,نمط
فكشادرنا,شدر
وبمتوليكن,ولى
لننعمهم,نعم
فكمؤثثيكم,اث
وللهفكما,لهف
لانتزعنكما,نزع
بسفرتينا,سفر
وبعبالي,عبل
وبمسلحكن,سلح
وكصيتيهما,صوت
وبتعاضديكم,عضد
فيعتقونهن,عتق
ومستمعيكما,سمع
لكفوهن,كف
فكالقطون,قطن
فكضمورهم,ضمر
سدلنها,سدل
لينالاه,نيل
فكمسكم,مس
فوازعين,وزع
فكالمطرانين,مطرن
الجد,جد
تكيساهم,كيس
لتترصدن,رصد
كاستعاريك,عور
فللعفو,عفو
مخلاتيهن,خلو
فبسلوكيتهن,سلك
ولمبلغها,بلغ
وسيلصقه,لصق
لوهلتما,وهل
فلهالتك,هول
يدرعكما,درع
بإيهامهما,وهم
ويقولانني,قول
فيرهفونه,رهف
كتصويبيكما,صوب
سأهنئ,هنأ
وبمتخشبكم,خشب
وكتمتهما,كتم
وليتلافيا,لفو
بهرجتك,بهرج
فلاختصارك,خصر
فكالمغلوطتين,غلط
فبالعقيدي,عقد
لمقاصفك,قصف
تقريانكن,قرى
فيوافكن,وفى
وناطحاتهم,نطح
فتعيشونني,عيش
وإقلال,قل
وسنلخبطه,لخبط
فسيلونون,لون
وكعيباتكم,عيب
واسمح,سمح
تلهبون,لهب
لتنبيهات,نبه
وتجهزننا,جهز
وبمحفوريها,حفر
ككفنها,كفن
ويشمساكن,شمس
سيبهدلها,بهدل
فكالقرقس,
فكمعاصرهن,عصر
فتتجاوزا,جوز
حفيظتها,حفظ
كمفادكن,فيد
فتصافحوا,صفح
فتهكمكن,هكم
فكمحطته,حط
ويقتاداها,قود
فكلعلكن,
وثروت,
وبهللكم,هل
ويعنقانا,عنق
روضنه,روض
بالمتواليات,ولى
وغراسته,غرس
فأشاله,شول
تتقارعا,قرع
كغداياكن,غدو
فتصبحكن,صبح
والجودو,
لنوجدهما,وجد
وبمنقلبهن,قلب
وبكارتان,بكر
فأمسيتاهن,مسو
وأخطأهما,خطى
وزائلاهم,زول
استسمحتكما,سمح
وخلجته,خلج
للعبتنهن,لعب
وبالتأهل,اهل
فليسممونا,سم
كشرعك,شرع
فتنفعانهن,نفع
بالسلوم,سلم
فليريحاهما,روح
فسحاري,سحر
عريفة,عرف
وكمنفييكم,نفو
فغزيا,غز
فبالتوصيلية,وصل
لخليعة,خلع
سأطعنكما,طعن
وكآخذتهم,اخذ
بملحقيتيكم,لحق
فكالصادحين,صدح
فليمهدنا,مهد
فسيثمنوننا,ثمن
ولنطيلكم,طول
وكالوقي,وقى
فلمجعدتين,جعد
يفاوضنهما,فوض
فأنضجتم,نضج
ستتضمنينه,ضمن
لسنفرتكن,
فليسلفتوها,سلفت
منسيكم,نسى
فللمستعرب,عرب
لهرجوا,هرج
فيشيكم,وشى
ومملكتكم,ملك
وسترفقينهما,رفق
يحيطاكن,حوط
فبفراش,فرش
مكوكه,مك
وسيصقلونكن,صقل
قنفذك,قنفذ
لأفعاك,فعو
فنمامها,نم
ولعراكما,عرو
فستجشمنهم,جشم
لأنديك,ندو
فبأجمتكن,
ولخنوع,خنع
فلقلمين,قلم
ويقلعانكن,قلع
وعتب,عتب
خسراهن,خسر
وسيدرين,درى
فجددوهم,جد
فبتعاريجها,عرج
كثقلتهم,ثقل
فللامتحانات,محن
بتلغرافيته,
فبكنعانينا,
كفيزيائيتهم,
ويميطانه,ميط
فبمؤامرتك,امر
فبمغرمها,غرم
بخافيتك,خفى
كمغشينا,غشو
وبمزعجتيها,زعج
بسارقكم,سرق
فلمقارننا,قرن
تجوزونا,جوز
غصبي,غصب
فستجبهين,جبه
تتبرقعن,برقع
ولمعارجكما,عرج
فلشيخكن,شيخ
لحذفنه,حذف
وهويانا,هوى
وليهذباهم,هذب
وخمريتنا,خمر
وبمنسيين,نسى
يركبوكم,ركب
ثقلننا,ثقل
فسأجتهد,جهد
فاسترحمتاك,رحم
لبيضتنه,بيض
فبنائلتكما,نيل
يندهون,نده
ويشنعكم,شنع
ولتهويش,هوش
بذائعيكن,ذوع
وأقاصكن,قص
فيبقلونا,بقل
وكصعيدها,صعد
مختزلتكم,خزل
ستتكاتفن,كتف
خلويتان,خلو
وبالصيتين,صوت
فتستضيفني,ضيف
وكمشركتها,شرك
وكيسوعيتينا,
ولشفاعتكن,شفع
فكالحيوانية,حيو
فبالمتداعيتين,دعو
وبإشراك,شرك
لمتحكمتي,حكم
وستتلفنينهن,
وشاطرتاني,شطر
ولتابعتيكم,تبع
فكمحظييكم,حظى
والمتفردة,فرد
بالإذابة,ذوب
ونومي,نوم
سيوسعانني,وسع
ولبديلتيكم,بدل
فمشتبكهم,شبك
فيطماكم,طم
وكضحالتهما,ضحل
فلنخمسهن,خمس
وبالمحقتين,حق
كمعهدكما,عهد
وعقابيا,عقب
بالعجلان,عجل
فأفنيتكما,فنى
فبمسؤوليتيهم,سأل
فلتغفلوا,غفل
كالاستفهامية,فهم
كوبائنا,وبئ
وسرحان,سرحن
فبحيوده,حيد
وبصانعهن,صنع
وسليلة,سل
لتبهلوا,بهل
ومعشوقاي,عشق
وبأحلام,حلم
ويضطلع,ضلع
بتنبئيتكما,نبأ
بتصديق,صدق
متوثبيك,وثب
فيغتالونكما,غول
وأقفاصي,قفص
ففقعتا,فقع
وتفكيهما,فك
للمسموحة,سمح
لينفذهن,نفذ
فبهاشكن,هش
فقووه,قوى
وكباريسيتين,
ومغنطيسيا,
عسيريكن,عسر
فليهجماني,هجم
وتتذكريها,ذكر
وكعليمتك,علم
وللمتصلبين,صلب
فبالكارثتين,كرث
ستسربونهم,سرب
ستزعزعننا,زعزع
فيبوبوهن,بوب
ويغضنان,غضن
ويزحموها,زحم
وتقفلهما,قفل
ولمسجونين,سجن
فمستنسخه,نسخ
قسمتكم,قسم
وكشواديفكن,شدف
بمعايشتيه,عيش
كقلنا,قل
بممهدك,مهد
تكلمانهم,كلم
لتحاصروهما,حصر
فبأكتف,كتف
لتسمياتهم,سمى
ولتحتاجنا,حوج
ستشتلون,شتل
فالصحبان,صحب
فبفردوسيها,
فكغدرك,غدر
وليجفلاها,جفل
أحثتها,حوث
وعارفوهم,عرف
لنقبلك,قبل
يشرحك,شرح
وباحتضارهما,حضر
ليوسعن,وسع
وستسلمنني,سلم
خاصمتنها,خصم
ولأستهديك,هدى
وسيأجرنا,اجر
حالفتماهن,حلف
ومنبطحتاهم,بطح
فالكشميريان,
فمعطلي,عطل
فلتقطبنه,قطب
مثاليتي,مثل
وعظتاها,وعظ
فبمسلمينا,سلم
فينتقشون,نقش
يصبغونهما,صبغ
عاطليهما,عطل
نتعفرت,عفرت
وليهرساني,هرس
فكجارهن,جور
فقايست,قيس
ونطويكما,طوى
وكالمشدين,شد
باهيتنها,بهو
ووصفية,وصف
نيوزيلنديون,
وتستوضحوا,وضح
فكسبتاكما,كسب
لمسهبينا,سهب
وسيكفلونها,كفل
وبالجرابين,جرب
وليتبرعن,برجز
فعزباه,عزب
ويعايرن,عير
فحفظوني,حفظ
ولمسجونتين,سجن
ولرتجها,رتج
فتاجاكن,توج
فافتراضيكن,فرض
كمسؤوليكم,سأل
فستمحورنا,محور
كتشكيكك,شك
فسيشوقونهن,شوق
ويحتسونني,حسو
ولمناقضتكما,نقض
لأربكتننا,ربك
ستهاجم,هجم
فبممثلكما,مثل
وألفظ,لفظ
شاحتها,شح
فتتنسما,نسم
وأرجحكن,رجح
فللطلائعيتين,طلع
وكطبالتكما,طبل
يردفان,ردف
لنصادركم,صدر
فبحنثهن,حنث
فراقديكن,رقد
فيخربشوهن,خربش
وسيطرقان,طرق
فلخفافيشه,خفش
تخرتانني,خرت
فبإشراقه,شرق
بمقتبلي,قبل
ويبخرونهم,بخر
ونثملهما,ثمل
فستعكسانهم,عكس
فلشنعتيك,شنع
وتعلقوهن,علق
فبمتسقهما,وسق
فلكردستانيين,
يزولاهم,زول
كصخبنا,صخب
تنبآكما,نبأ
تلاومك,لوم
لمجسمكن,جسم
وكجنانيزكن,جنز
وبمذبذبكما,ذبذب
يترجونهن,رجو
وتبرصون,برص
وليقتحف,قحف
عقباك,عقب
فبالإخصائيتين,خص
فيخفرانكن,خفر
وطبقيا,طبق
فلتواثقن,وثق
تخدمينه,خدم
ولأمينيي,
وبمستخرجة,خرج
وللبعيدة,بعد
فكالزفة,زف
وبفريكين,فرك
وطنجيي,
إهانتان,هون
ولمستويي,سوى
فليفشخاهما,فشخ
بالعيدان,عود
كفرقعتهم,فرقع
وسيستوسق,وسق
فلنجمح,جمح
وكسوي,سوى
ستدثرهما,دثر
لتعابثيهن,عبث
فتقلقينهم,قلق
فلنرشحهم,رشح
لقصقصتن,قصقص
وكمكملاته,كمل
راوغوكما,روغ
فسيسيجانكن,سيج
لتشطيبنا,شطب
فليفرغها,فرغ
يجبياك,جبى
ومرتعدتاهم,رعد
فنجمهر,جمهر
تصطفياهما,صفو
نتآ,نتأ
وآفاتكن,اوف
فكباعه,
ويتأنسان,انس
فبسماعه,سمع
لعراكك,عرك
وكمجالهما,جول
لسبلتنا,سبل
وجيشيكما,جيش
فترتاديهم,رود
فيمشقني,مشق
فغرامتاي,غرم
لتمرعي,مرع
تتراقصان,رقص
فلبظرنا,
يباركاه,برك
وسنملسهما,ملس
فتكفياكم,كفى
بطأتنهن,بطء
وبتخلية,خلو
وكافتراضاتكما,فرض
ولاستبياناته,بين
ولتحرياتهما,حرى
فينبذنهما,نبذ
وعظماؤها,عظم
لقننك,قن
صنبوريهم,صنبر
فكمنقذاتكن,نقذ
أردموهن,ردم
بحصادينا,حصد
فسيشاكلونكن,شكل
إذلاله,ذل
فبنابلسياتكما,
فتغزينه,غزو
كناسيهم,كنس
واحتقرتكما,حقر
فلتسجمك,سجم
لمشخصاتهن,شخص
بهورموننا,
لتناصحنهن,نصح
سنحاشيهن,حشو
فلمتعففة,عف
وبالمنافسين,نفس
لريمتاك,ريم
فبجلفينا,جلف
فليحبلهم,حبل
سأستبطئها,بطء
لأقيت,قوت
وكاسبتانا,كسب
لأقتمكم,قتم
فبحملات,حمل
وأعسرتم,عسر
سيسترحمانكم,رحم
ولغيبها,غيب
فلمضايقتهم,ضيق
فبمرتقيهن,رقى
ستعاهدين,عهد
مقلقلاه,قلقل
فمقانبهما,قنب
طاعنانا,طعن
ولتسربل,سربل
مرممات,رم
اجتثثننا,جث
وكالسنامين,سنم
ويعيرنه,عير
فستهمكون,همك
فشعواؤكم,شعن
ويستغرقوكن,غرق
لمطربنا,طرب
لتضيفاكما,ضيف
كالمزخرفات,زخرف
تناقشهم,نقش
سيتهمانه,وهم
وبمدحكم,مدح
فمتعففتاه,عف
بالتأمل,امل
ولتشرحوها,شرح
فكزميلة,زمل
لأفشلتماهما,فشل
وللمتأصلة,اصل
فلأسطورتهن,
لخداعيكم,خدع
فلننعدم,عدم
محظيتيكما,حظى
ولتدعسه,دعس
فلتشاهريها,شهر
يفسخاهما,فسخ
وستهذبون,هذب
فستمرضانها,مرض
وحسبتماهما,حسب
وسيصابرانني,صبر
وكدومه,دوم
فينعم,نعم
فسيناصرونهن,نصر
فلمستميتهما,موت
لأسخنوا,سخن
وكمترددين,رد
لألقيتماهن,لقى
فليشحمنه,شحم
وبمياومكما,يوم
وسأتقسس,قس
كفخاريتهن,فخر
هنأتاها,هنأ
وتنصفونها,نصف
البستانيتان,
فكالفوح,فوح
بمستمده,مد
فليفتناه,فتن
هلكوكن,هلك
سأتأملكم,امل
مغنطيسيتا,
وللكندر,
وبديوكي,ديك
فجليديتين,جلد
تستشيريننا,شور
كوسواس,وسوس
وبصحفي,صحف
وثلاجتا,ثلج
ذوبوها,ذوب
فيسقطانكن,سقط
وفالحتاكن,فلح
وسعلتك,سعل
فننشئكن,نشأ
فتثملانكن,ثمل
تلوثانهم,لوث
فتركيتان,ترك
لحطابتكم,حطب
فنسائية,نسو
فليهازلوني,هزل
واحتكرتموهما,حكر
فيكمشاكن,كمش
وتستوعبي,وعب
وسلطتانا,سلط
سببينا,سب
لطريق,طرق
ولأطرقهن,طرق
بيضية,بيض
فلعاهتك,عوه
لمنصفتي,نصف
لأمضيهن,مضى
فلأهيبكن,هيب
وتجبهينهن,جبه
لوليمتيه,ولم
ويخفضانه,خفض
مزاعمهما,زعم
فينكرب,كرب
وليصفقنني,صفق
ومتفوقهن,فوق
فبأشياخ,شيخ
فلتقوسوهن,قوس
ذابلهم,ذبل
فبأدخنة,دخن
وبدربيهما,درب
سنبرمجكم,برمج
فكعلوكما,علو
لتتهوسن,هوس
ونبأتماهما,نبأ
فبجنراليها,
واستحقتاكن,حق
فلينافينه,نفو
تخبراننا,خبر
كالعملاء,عمل
ليحبساهن,حبس
فبظلمتيهما,ظلم
ويتزلفون,زلف
ويعجبا,عجب
فاستعصاء,عصى
بصفيتكما,صفو
ولمقارمكم,قرم
ولتكأتين,وكأ
وكتأميمها,ام
فحوزتها,حوز
وأجنسه,جنس
يرقصهما,رقص
وتذمانكم,ذم
سيحيكونكم,حيك
فيذووني,ذوى
منخرها,نخر
ولمناجزتيك,نجز
وبلاقطاتهما,لقط
سنترصده,رصد
ولمساطبهن,سطب
فمقامرتيهن,قمر
وبظلمك,ظلم
فحريرتكما,حر
فثلوجه,ثلج
وبأرزاقهن,رزق
فكمثبتيهن,ثبت
وكرجلكن,رجل
فتغمدانك,غمد
بكوفيتهن,كوف
وسيخصمونكن,خصم
فلتطيراكما,طير
بنصيهما,نص
فسائحا,سيح
وبمقومين,قوم
لتخطتكن,خطو
كميزتينا,ميز
ونقالاتهم,نقل
فموحدوهم,وحد
بمبشرتينا,بشر
ووازيتموهن,وزى
لمشاعينا,شيع
ويجدولانا,جدول
فلمغلوليهن,غل
وقديسان,قدس
بمتحاملين,حمل
فلأعبئتنا,عبأ
كزاهد,زهد
فكمقطعييكن,قطع
فصرفيهن,صرف
فنزلائه,نزل
فأقمنني,قوم
حبيستانا,حبس
وكالبلبال,بلبل
فلحملهن,حمل
والأنبياء,نبو
وتفرملني,فرمل
فكمجرفته,جرف
فبأغلبي,غلب
وكعروضيتهم,عرض
ولتكرمتكما,كرم
استعراضاتكم,عرض
فلتقايساني,قيس
لنزمنهن,زمن
وكتوريدي,ورد
وببائتيهن,بيت
وانتهكتاها,نهك
فتفقهتن,فقه
فسأتخشب,خشب
جرمتهما,جرم
فبدباباتك,دب
شنونكم,شن
وكمتعديته,عدو
بوجوديتيكن,وجد
فكالمهوب,هيب
وللمرجعي,رجع
فبمتلقياتهم,لقى
فأصحبنكن,صحب
فبفطرية,فطر
وتترويان,روى
فللدغر,دغر
فسينقصنهما,نقص
لعمالقتك,عملق
وتحزمتن,حزم
كزعنفتهم,زعنف
لتتشبكوا,شبك
لعدمييهما,عدم
تضويها,ضوى
لباشروا,بشر
وقمينيكما,قمن
كأماليد,ملد
وبهلع,هلع
ليطوله,طول
لغمرتكم,غمر
وستستشيرونهن,شور
فوحشيات,وحش
لتبلع,بلع
لتقضمكم,قضم
يجرماهما,جرم
بمعاجنها,عجن
فلمساريهن,سير
مالكوم,
فكتلاصقكما,لصق
وبفساتينكن,فستن
وبعقوقنا,عق
سيشتقانكن,شق
فبهديتين,هدى
حابتا,حبو
بائعك,بيع
فكمستعربكم,عرب
وجراحته,جرح
فلحاتك,حت
عيبكن,عيب
فكمتخماتكن,تخم
فستنابذانكما,نبذ
فببؤرتيك,بأر
فبموجزكما,وجز
بمتآزريكما,ازر
ستنساهم,نسى
فصرافته,صرف
حافلتاهن,حفل
ولاحظتمونا,لحظ
مرساتها,رسو
لنقمشهما,قمش
وكالمفتونين,فتن
وحجامنا,حجم
فلتثبيتي,ثبت
بمتنكرات,نكر
تصبأ,صبأ
ونحبتهما,نحب
وهاجتين,وهج
ويتلوون,لوى
لباطون,
ولأشيعه,شيع
وبالأخوات,اخو
وكالعصفر,عصفر
فحنأتموه,حنا
وليجشموكم,جشم
فكراهتي,كره
فاستبعدوكما,بعد
فتشكلاكم,شكل
فدحرجتها,دحرج
يخرتانهن,خرت
وستتمنينهن,منو
فبالمسيكات,مسك
فكفعلتنا,فعل
فكأجيريكما,اجر
لأركبتانا,ركب
فكعينتك,عين
كأقعدتهم,قعد
لمنجدتيه,نجد
فبعوادمنا,عدم
فسيثوروننا,ثور
فلمقاطعاتهن,قطع
وفضلتانا,فضل
وكمجرفتها,جرف
بخراطتيهم,خرط
وبائتيك,بيت
وستدودين,دود
يهمداهما,همد
ويشقشقان,شقشق
شعائريا,شعر
كعهدتهم,عهد
فليغدى,غدو
يودعانك,ودع
لقارورتكم,قر
فليذيل,ذيل
ولصورتكم,صور
لمختفيي,خفى
فيحرزونهما,حرز
سباطها,سبط
أصعداك,صعد
ستحممان,حم
بأوعيتها,وعى
كدراهمهم,
فالمستطيلتان,طول
ولتجنناكما,جن
فتؤهلوهن,اهل
فيجامعون,جمع
فدهستكما,دهس
فماعزهن,معز
لجابيهن,جبى
وبشاديتهم,شدو
فلتبريريكن,برر
لينضغط,ضغط
بمعزمه,عزم
باقتلاعنا,قلع
فشكرتنهن,شكر
ورعديكم,رعد
فستفرزانهن,فرز
ويقتدرا,قدر
لأيمنهم,يمن
كسائحاتهن,سيح
سأنورهما,نور
ليتيحا,تيح
ومائعيكما,ميع
وتربكانكن,ربك
فكالغرباء,غرب
فبالسطع,سطع
كقصعتنا,قصع
بالوافدتين,وفد
ودعوناكما,دعو
فلتختصراك,خصر
لكنيتهما,كنو
بمبرمجكم,برمج
فأنحه,نحو
سيسطلانه,سطل
شاكسنكن,شكس
بحاديتنا,حدو
فبإيمائهم,ومأ
فللخشاف,
وسنستوقفهما,وقف
ليعقموهن,عقم
ونصفيتاها,نصف
وبميغابايتهم,
نزهنكما,نزه
فأرجعتموهن,رجع
وبلديتاهن,بلد
سطورهما,سطر
لأرعيتنها,رعى
وتفتضحا,فضح
تؤولونهم,اول
فليغزونا,غزو
وليمتدحن,مدح
كالمتكافئتين,كفأ
كذبابتيهن,ذب
فغرارتكما,غر
فلتمدديهن,مد
وسائقيكن,سوق
ببوذي,
وأشيائنا,شيأ
فكمتضافركم,ضفر
لمتبولينا,تبل
وباعتقاليه,عقل
تبيراكما,بور
تتزعمانهن,زعم
ولفخاري,فخر
وبجنسين,جنس
وبمقدساتكن,قدس
كأداتك,ادو
كمدرب,درب
سيراكمانها,ركم
بخبرته,خبر
مضرجي,ضرج
فبخماراتكم,خمر
فخاطفيكما,خطف
كتوصلهم,وصل
ستسخطانك,سخط
ليرممهما,رم
مليطكما,ملط
كرحالنا,رحل
ويتفشيان,فشو
ولصديقينا,صدق
فسروجيهن,سرج
وبمنقط,نقط
وللطريدين,طرد
وبدولارينا,
لسلوتها,سلو
وكناهدتيها,نهد
وغفلتماهما,غفل
ولشعائرها,شعر
ونواهيكن,نهو
فستعصمننا,عصم
فمعيبتاهم,عيب
تأمريننا,امر
تكبحينها,كبح
وللسرقة,سرق
فستسيلنهن,سيل
فعنقيك,عنق
لتتعمدا,عمد
لاشتهرنا,شهر
ولأوسطيتكن,وسط
ولأيسركم,يسر
يسيلنني,سيل
فنسجتها,نسج
فلقشتيها,قش
فبسارقتي,سرق
وبقطاعيتكما,قطع
فلمتعفف,عف
كأياديكن,يد
لتحميله,حمل
فربيلك,ربل
يحمؤون,حمأ
فبمميزين,ميز
وتفخمانها,فخم
فلنمق,ومق
والسويين,سوى
وسنسربكما,سرب
وكطامحهن,طمح
وبالحنفيتين,حنف
فكبيزنطي,
فلمغرياتكما,غرو
وكالباقيات,بقى
فكبدر,بدر
فغيرنه,غير
فكمربحتيهم,ربح
وتقاضيتموني,قضى
أبرحتموها,برح
بأعناقهن,عنق
تبقعنهن,بقع
وتهاوننا,هون
فتساوياكن,سوى
وبسائبكن,سيب
وكأذربيجانيات,
أحثتم,حوث
فكحضارية,حضر
فتذخريننا,ذخر
فسترذلك,رذل
سترتدعان,ردع
ووطدناهما,وطد
ولمتلوفهما,تلف
وشحميتين,شحم
ولوضائع,وضع
فتنهبانني,نهب
ومهيجاتكم,هيج
فمريكن,مر
يفشلاهن,فشل
وفننوه,فن
ويقامروا,قمر
هاجماه,هجم
ويبربر,بربر
ونصبتم,نصب
وعصافة,عصف
كقممك,قم
فلناقرتيهن,نقر
فلطباخيكم,طبخ
وتعاصرت,عصر
ولترهلهما,رهل
سنراقصه,رقص
ولمناقضها,نقض
فلطلباتهن,طلب
سيصلتونكن,صلت
وتلبكانه,لبك
نقارتيه,نقر
بأصيافكما,صيف
فبمطالعيه,طلع
ودشنتن,دشن
وواهبتان,وهب
أبلغوها,بلغ
وستصيبها,صوب
كالاستظهار,ظهر
والنرد,
وبرابحتها,ربح
فكمفطرتهما,فطر
فليزوركم,زور
فاعتلاءي,علو
إنابتكم,نوب
فبمستوعبيكما,وعب
مبجلي,بجل
كجهيدك,جهد
لحتميتكم,حتم
وكفأناك,كفأ
والطابات,
وليحشدوكم,حشد
ومغتاليكما,غول
وللإفصاح,فصح
لفزعتها,فزع
خشيتاك,خشى
وكمطهوته,طهو
ستتحتمان,حتم
فيهندمهن,هندم
طروشه,طرش
فسيريموننا,ريم
فاسترددناها,رد
فستضخمها,ضخم
كإشكاليه,شكل
وليلبينني,لبى
فمقدوركم,قدر
بنفاسي,نفس
بزوجتكم,زوج
شمعيتكم,شمع
تنمنمكن,نمنم
لأسكنتمونا,سكن
لتكيتك,
لأظفاركم,ظفر
فسأستخدم,خدم
فالمقيمة,قوم
ويناظرنكن,نظر
بحلائلي,حل
فلتلقاكن,لقى
فأشربكم,شرب
سيرزمكما,رزم
وستسرجونهما,سرج
فليتبعاهن,تبع
يحترمننا,حرم
مشتبهكما,شبه
فبمسافتهن,سوف
فالمطبوخ,طبخ
وبمطرهن,مطر
وليعارككم,عرك
لحصريك,حصر
وسنلصقها,لصق
كوهميك,وهم
ولتجتاحينا,جوح
لتقولهم,قول
كبدانة,بدن
فسيتخشوننا,خشى
فليغدروكم,غدر
فلتمزقكم,مزق
فالشغوفين,شغف
داخلتمونا,دخل
فوقعتاهم,وقع
فبإعانتيكما,عون
شيليتا,
لتبغتوها,بغت
ونستطيبهن,طيب
وبغنهن,غن
فمهرات,مهر
كوازنتيكم,وزن
لتسطلوني,سطل
ليحجلننا,حجل
معاكستاكما,عكس
تتريشوا,ريش
ابتلاؤكم,بلو
فسينعسانهن,نعس
ولتمزقيهن,مزق
فكإيلامه,الم
فلتعاديه,عدو
فطرفاكن,طرف
بعقابي,عقب
فينغزوكما,نغز
فبمتكهنكن,كهن
وسيكتحل,كحل
فلانتكاسنا,نكس
فحكمتنني,حكم
لانجرحت,جرح
التقريبات,قرب
للتلبيسة,لبس
سيوهنونها,وهن
وهيدرولوجيكن,
لتغنياها,غنى
فحفرتانا,حفر
فيمولنني,مول
كالكلبة,كلب
فيمليننا,ملو
فكمريسي,مرس
سنجنيكم,جنى
فلازمتماهما,لزم
ليخافتنك,خفت
تلغموني,لغم
فلينيخك,نوخ
وسنستحبكما,حب
فلإعذار,عذر
فتلثموها,لثم
فليعيشننا,عيش
بديعتانا,بدع
ولتبنجاه,بنج
فآوته,اوي
للملايا,
لولبيهن,لولب
ومسترسلاهن,رسل
ومقرونتك,قرن
وفلقتماهم,فلق
ومحطكن,حط
فيلاعنوها,لعن
فبسلوكها,سلك
وللمهارة,مهر
لاستحبها,حب
فلشغافهن,شغف
فبحصيفيه,حصف
لروق,روق
ولنسبلها,سبل
بخرفانهن,خرف
فسيخالفوننا,خلف
ستربصهما,ربص
محرجتاي,حرج
ولنبرض,برض
وحايدوكن,حيد
وسيسارقنكن,سرق
سيعلقم,علقم
فلثوبكم,ثوب
فيصدماني,صدم
وبادرنكم,بدر
كسناميهم,سنم
فبمسموعاتنا,سمع
ورتاجنا,رتج
استنشدناكم,نشد
فسيزجرنهما,زجر
فتذكارية,ذكر
فالجنيهين,
فسيعقرنه,عقر
كثخانته,ثخن
وتساعديهما,سعد
ويزيتكن,زيت
فمطوراهما,طور
نهكتماهم,نهك
وتصعقانهم,صعق
وغاسليكن,غسل
ونعفسها,عفس
تمشحين,مشح
فيمعطاك,معط
فالجاكتين,
ولأجوفكم,جوف
خمسيتهن,خمس
فلأجشمها,جشم
واحتذائهما,حذو
يختلساها,خلس
ولتشعراهما,شعر
فسنشنجها,شنج
كنقيصتهن,نقص
فأفرحتماهم,فرح
استصلحناها,صلح
فبمباراتنا,بري
يستهجنونا,هجن
ونشهرك,شهر
ولتربيعيتيهم,ربع
وفاران,فر
ستنفدانهم,نفد
فليناقشهم,نقش
ولميثاقيتكم,وثق
فكجنايتيك,جنى
واستأنفوهما,انف
لأشعاركما,شعر
أتقارعكم,قرع
فانتشلناكم,نشل
وكمزرابها,زرب
وبتكحيلهن,كحل
رفائكن,رفأ
فبالعداد,عد
ينجيانه,نجو
ببورتوريكو,
